"GUEST_DETAILS_ID","BOOKING_ID","ADULTS","CHILDREN","BABIES","IS_REPEATED_GUEST","TOTAL_OF_SPECIAL_REQUESTS"
78,15,1,0,0,0,1
79,15,2,0,0,0,0
80,16,2,0,0,0,3
81,16,2,0,0,0,3
82,17,2,0,0,0,0
83,17,1,0,0,0,1
84,17,2,0,0,0,0
85,18,2,0,0,0,0
86,19,2,0,0,0,0
87,19,2,0,0,0,0
88,20,1,0,0,0,0
89,20,2,0,0,0,1
90,21,2,0,0,0,0
91,21,1,0,0,0,1
92,21,2,0,0,0,0
93,22,2,0,0,0,1
94,22,2,0,0,0,1
95,22,2,0,0,0,1
96,23,2,0,0,0,1
97,23,2,0,0,0,1
98,23,2,0,0,0,1
99,24,2,0,0,0,1
100,24,2,0,0,0,1
101,24,2,0,0,0,1
102,25,2,0,0,0,1
103,26,2,0,0,0,0
104,27,2,0,0,0,0
105,28,2,0,0,0,2
106,29,2,0,0,0,0
107,30,2,0,0,0,1
108,31,2,0,0,0,1
109,31,1,0,0,0,2
110,32,2,0,0,0,0
111,33,2,0,0,0,2
112,34,2,0,0,0,0
113,35,3,0,0,0,1
114,35,2,0,0,0,0
115,35,2,0,0,0,0
116,36,3,0,0,0,1
117,37,2,0,0,0,0
118,38,3,0,0,0,1
119,39,3,0,0,0,0
120,40,2,0,0,0,1
121,40,2,0,0,0,1
122,41,3,0,0,0,1
123,41,2,0,0,0,0
124,41,2,0,0,0,0
125,42,3,0,0,0,1
126,42,2,0,0,0,0
127,42,2,0,0,0,0
128,43,2,0,0,0,0
129,44,2,0,0,0,1
130,44,2,0,0,0,1
131,45,2,0,0,0,2
132,46,2,2,0,0,0
133,47,2,0,0,0,1
134,48,2,0,0,0,2
135,48,2,0,0,0,2
136,49,2,0,0,0,0
137,50,2,0,0,0,1
138,51,2,0,0,0,2
139,51,2,0,0,0,2
140,52,2,0,0,0,0
141,52,2,0,0,0,0
142,53,2,0,0,0,0
143,54,2,0,0,0,0
144,54,2,0,0,0,2
145,55,2,0,0,0,0
146,55,2,2,0,0,2
147,56,2,0,0,0,0
148,56,2,2,0,0,2
149,146,2,0,0,0,0
150,147,2,0,0,0,0
151,148,2,0,0,0,0
152,149,2,2,0,0,0
153,150,2,0,0,1,0
154,150,2,0,0,0,0
155,150,2,0,0,0,1
156,151,2,0,0,0,2
157,151,2,2,0,0,1
158,152,2,0,0,0,1
159,153,2,0,0,0,1
160,154,2,0,0,0,0
161,155,2,2,0,0,1
162,156,2,0,0,0,2
163,157,3,0,0,0,1
164,158,2,0,0,0,0
165,159,1,0,0,0,0
166,160,2,0,0,0,0
167,161,2,2,0,0,0
168,162,2,0,0,0,2
169,162,2,0,0,0,1
170,162,2,0,0,0,0
171,162,2,0,0,0,2
172,163,2,0,0,0,2
173,163,3,0,0,0,2
174,164,3,0,0,0,1
175,164,2,0,0,0,0
176,165,2,2,0,0,0
177,166,2,0,1,0,2
178,167,2,0,0,0,2
179,167,3,0,0,0,2
180,168,2,0,0,0,2
181,168,2,0,0,0,1
182,168,2,0,0,0,0
183,168,2,0,0,0,2
184,169,1,0,0,0,0
185,170,2,1,0,0,0
186,171,2,0,0,0,2
187,172,2,0,0,0,1
188,172,2,0,0,0,1
189,173,2,0,0,0,1
190,174,2,0,0,0,0
191,175,2,0,0,0,0
192,176,2,0,0,0,1
193,176,2,0,0,0,0
194,177,2,0,0,0,0
195,178,2,0,0,0,0
196,90,2,0,0,0,2
197,90,2,0,0,0,0
198,91,2,0,0,0,1
199,92,2,0,0,0,0
200,93,2,0,0,0,2
201,93,2,0,0,0,0
202,94,2,0,0,0,2
203,94,2,0,0,0,1
204,95,2,0,0,0,2
205,95,2,0,0,0,1
206,96,2,0,0,0,0
207,96,2,0,0,0,1
208,97,2,0,0,0,2
209,97,2,0,0,0,1
210,97,3,0,0,0,1
211,98,2,0,0,0,2
212,98,2,0,0,0,1
213,98,3,0,0,0,1
214,99,2,0,0,0,1
215,99,2,1,0,0,2
216,100,2,0,0,0,0
217,101,2,0,0,0,1
218,102,2,0,0,0,0
219,103,1,2,0,0,2
220,103,2,0,0,0,1
221,103,2,0,0,0,1
222,104,2,0,0,0,2
223,105,2,0,0,0,1
224,105,2,0,1,0,2
225,105,2,0,0,0,1
226,106,2,2,0,0,0
227,107,3,0,0,0,1
228,107,2,0,0,0,2
229,108,2,0,0,0,1
230,108,2,0,1,0,2
231,108,2,0,0,0,1
232,109,2,0,0,0,1
233,110,2,0,0,0,1
234,110,2,0,1,0,2
235,110,2,0,0,0,1
236,111,2,0,0,0,2
237,112,2,0,1,0,2
238,113,2,0,0,0,0
239,114,3,0,0,0,1
240,115,2,0,0,0,1
241,116,2,0,0,0,1
242,117,1,2,0,0,2
243,117,2,0,0,0,1
244,117,2,0,0,0,1
245,118,1,2,0,0,2
246,118,2,0,0,0,1
247,118,2,0,0,0,1
248,119,2,1,0,0,1
249,120,2,2,0,0,0
250,121,2,0,0,0,0
251,122,1,0,0,0,0
252,123,1,0,0,0,0
253,124,3,0,0,0,1
254,124,2,0,0,0,2
255,125,2,0,0,0,0
256,126,4,0,0,0,1
257,127,2,0,0,0,0
258,128,2,0,0,0,1
259,128,2,0,0,0,1
260,128,2,0,0,0,2
261,129,2,0,0,0,0
262,130,2,0,0,0,1
263,130,2,0,0,0,1
264,130,2,0,0,0,2
265,131,2,0,0,0,1
266,131,2,0,0,0,1
267,131,2,0,0,0,2
268,132,2,0,0,0,1
269,132,1,0,0,0,0
270,132,1,0,0,0,0
271,133,2,0,0,0,0
272,133,2,0,0,0,0
273,134,2,2,0,0,0
274,134,2,0,0,0,0
275,135,2,0,0,0,1
276,135,1,0,0,0,0
277,135,1,0,0,0,0
278,136,1,0,0,0,0
279,136,2,0,0,0,1
280,136,2,0,0,0,0
281,137,1,0,0,0,0
282,137,2,0,0,0,1
283,137,2,0,0,0,0
284,138,2,0,0,0,1
285,138,1,0,0,0,0
286,138,1,0,0,0,0
287,139,2,0,0,0,0
288,139,2,0,0,0,0
289,140,1,0,0,0,0
290,140,2,0,0,0,1
291,140,2,0,0,0,0
292,141,3,0,0,0,0
293,142,2,0,0,0,0
294,143,2,0,0,0,2
295,143,2,2,0,0,1
296,144,2,1,0,0,2
297,145,2,0,0,0,0
298,235,2,2,0,0,1
299,236,2,2,0,0,0
300,237,2,0,1,0,2
301,238,2,2,0,0,3
302,238,2,0,0,0,0
303,239,2,0,0,0,0
304,240,1,0,0,0,1
305,241,2,0,0,0,1
306,242,2,0,0,0,0
307,242,2,0,0,0,0
308,243,2,0,0,0,0
309,243,2,0,0,0,0
310,243,2,0,0,0,0
311,244,2,0,0,0,0
312,244,2,0,0,0,0
313,244,2,0,0,0,0
314,245,2,0,0,0,0
315,245,2,0,0,0,0
316,245,2,0,0,0,0
317,246,2,0,0,0,0
318,247,2,0,0,0,1
319,248,2,0,0,0,2
320,249,2,0,0,0,0
321,250,2,0,0,0,0
322,251,2,0,0,0,2
323,251,2,0,0,0,1
324,251,2,0,0,0,1
325,252,2,0,0,0,0
326,253,2,0,0,0,1
327,253,3,1,0,0,0
328,254,2,0,0,0,1
329,255,2,1,0,0,1
330,256,2,0,0,0,2
331,257,2,0,0,0,2
332,257,2,0,0,0,1
333,257,2,0,0,0,1
334,258,2,0,0,0,1
335,259,2,0,0,0,1
336,259,2,0,2,0,3
337,260,2,0,0,0,2
338,261,2,0,0,0,1
339,261,2,0,0,0,1
340,262,2,0,0,0,1
341,262,2,0,0,0,1
342,263,2,0,0,0,0
343,264,2,0,0,0,2
344,265,2,0,0,0,1
345,265,2,0,2,0,3
346,266,2,2,0,0,0
347,267,2,0,0,0,2
348,267,2,0,0,0,2
349,267,2,0,0,0,2
350,179,2,0,0,0,1
351,179,2,0,0,0,1
352,180,2,0,0,0,1
353,180,2,0,0,0,0
354,181,2,2,0,0,0
355,182,1,0,0,0,1
356,183,2,0,0,0,0
357,184,2,0,0,0,2
358,184,2,0,0,0,1
359,184,2,0,0,0,0
360,184,2,0,0,0,2
361,185,3,0,0,0,1
362,185,2,0,0,0,0
363,186,2,0,0,0,1
364,187,2,0,0,0,1
365,188,2,0,0,0,1
366,189,2,0,0,0,2
367,190,1,0,0,0,0
368,191,2,0,0,0,0
369,192,2,0,0,0,2
370,192,2,0,0,0,1
371,192,2,0,0,0,0
372,192,2,0,0,0,2
373,193,2,0,0,0,0
374,194,2,0,0,0,1
375,195,2,0,0,0,2
376,196,2,1,0,0,1
377,197,2,0,0,0,1
378,197,3,2,0,0,1
379,197,2,0,0,0,1
380,198,2,0,0,0,1
381,198,3,2,0,0,1
382,198,2,0,0,0,1
383,199,1,0,0,0,3
384,199,2,0,0,0,0
385,199,1,0,0,0,3
386,199,3,0,0,0,0
387,200,1,0,0,0,3
388,200,2,0,0,0,0
389,200,1,0,0,0,3
390,200,3,0,0,0,0
391,201,1,0,0,0,3
392,201,2,0,0,0,0
393,201,1,0,0,0,3
394,201,3,0,0,0,0
395,202,2,0,0,0,1
396,202,3,2,0,0,1
397,202,2,0,0,0,1
398,203,2,0,0,0,2
399,204,3,0,0,0,1
400,204,2,0,0,0,2
401,205,1,0,0,0,3
402,205,2,0,0,0,0
403,205,1,0,0,0,3
404,205,3,0,0,0,0
405,206,2,0,0,0,0
406,207,3,0,0,0,1
407,207,2,0,0,0,2
408,208,2,0,0,0,0
409,209,2,0,0,0,0
410,210,2,0,0,0,1
411,211,2,0,0,0,1
412,212,2,0,0,0,2
413,213,2,0,0,0,1
414,213,2,0,0,0,1
415,213,2,0,0,0,1
416,213,2,0,0,0,1
417,214,2,0,0,0,1
418,214,2,0,0,0,1
419,215,2,0,0,0,1
420,216,2,0,0,0,1
421,217,2,0,0,0,1
422,218,1,0,0,0,0
423,219,2,0,0,0,1
424,219,2,0,0,0,1
425,219,2,0,0,0,1
426,219,2,0,0,0,1
427,220,2,0,0,0,1
428,220,2,0,0,0,1
429,220,2,0,0,0,1
430,220,2,0,0,0,1
431,221,2,0,0,0,1
432,221,2,0,0,0,1
433,221,2,0,0,0,1
434,221,2,0,0,0,1
435,222,2,0,0,0,1
436,512,2,2,0,0,0
437,224,2,1,0,0,1
438,225,2,0,0,0,1
439,226,2,0,0,0,0
440,227,2,0,0,0,0
441,228,3,0,0,0,1
442,229,3,0,0,0,3
443,229,2,0,0,0,2
444,230,3,0,0,0,3
445,230,2,0,0,0,2
446,231,2,2,0,0,3
447,231,2,0,0,0,0
448,232,3,0,0,0,1
449,233,2,2,0,0,0
450,234,2,0,0,0,0
451,234,2,0,0,0,0
452,324,2,0,0,0,1
453,324,2,0,0,0,0
454,325,2,0,0,0,0
455,325,2,0,0,0,2
456,326,2,0,0,0,1
457,327,2,0,0,0,0
458,327,2,0,0,0,0
459,328,2,0,0,0,0
460,328,2,0,0,0,1
461,328,2,0,0,0,2
462,329,2,10,0,0,1
463,330,2,0,0,0,0
464,331,2,0,0,0,1
465,331,2,0,0,0,0
466,331,2,0,0,0,1
467,332,2,0,1,0,1
468,332,2,0,0,0,0
469,332,2,0,0,0,1
470,332,2,2,0,0,1
471,333,2,0,0,0,0
472,334,2,0,0,0,0
473,335,2,0,0,0,1
474,335,2,0,0,0,0
475,335,2,0,0,0,1
476,336,2,0,1,0,1
477,336,2,0,0,0,0
478,336,2,0,0,0,1
479,336,2,2,0,0,1
480,337,2,0,0,0,0
481,338,2,0,0,0,3
482,339,2,0,0,0,0
483,340,2,0,0,0,1
484,340,2,0,0,0,0
485,341,2,0,1,0,2
486,342,2,2,0,0,1
487,343,2,0,0,0,0
488,344,2,0,0,0,0
489,345,2,1,0,0,2
490,345,2,2,0,0,1
491,346,2,0,1,0,1
492,346,2,0,0,0,0
493,346,2,0,0,0,1
494,346,2,2,0,0,1
495,347,2,0,0,0,0
496,348,2,0,1,0,2
497,348,2,0,0,0,2
498,349,2,0,0,0,1
499,350,2,0,0,0,0
500,351,2,0,0,0,3
501,351,2,0,0,0,0
502,351,2,0,0,0,3
503,352,2,0,0,0,1
504,352,3,0,0,0,1
505,353,2,0,0,0,0
506,353,1,0,0,0,0
507,353,4,0,0,0,0
508,354,2,0,0,0,3
509,354,2,0,0,0,0
510,354,2,0,0,0,3
511,355,2,0,0,0,0
512,355,1,0,0,0,0
513,355,4,0,0,0,0
514,356,2,0,0,0,2
515,268,2,0,0,0,1
516,269,2,0,0,0,2
517,269,2,0,0,0,2
518,269,2,0,0,0,2
519,270,2,0,0,0,2
520,270,2,0,0,0,2
521,270,2,0,0,0,2
522,271,1,0,0,0,0
523,272,2,1,0,0,3
524,272,2,0,0,0,1
525,272,2,1,0,0,3
526,273,2,1,1,0,2
527,274,2,0,0,0,1
528,274,3,1,0,0,0
529,275,2,0,0,0,2
530,276,2,0,0,0,0
531,277,2,0,1,0,0
532,278,2,0,0,0,0
533,279,2,1,0,0,3
534,279,2,0,0,0,1
535,279,2,1,0,0,3
536,280,2,1,0,0,3
537,280,2,0,0,0,1
538,280,2,1,0,0,3
539,281,2,1,0,0,0
540,282,2,0,0,0,0
541,283,2,0,1,0,1
542,284,2,0,0,0,0
543,284,2,0,0,0,0
544,285,3,0,0,0,1
545,286,2,0,0,0,2
546,287,2,0,0,0,1
547,287,2,0,0,0,1
548,288,2,0,0,0,1
549,289,2,0,0,0,1
550,289,2,0,0,0,0
551,289,2,0,0,0,0
552,289,2,0,0,0,0
553,290,2,0,0,0,1
554,290,2,0,0,0,0
555,290,2,0,0,0,0
556,290,2,0,0,0,0
557,291,2,0,0,0,1
558,291,2,0,0,0,0
559,291,2,0,0,0,0
560,291,2,0,0,0,0
561,292,1,0,0,0,0
562,292,2,0,0,0,1
563,292,2,0,0,0,0
564,292,2,0,0,0,1
565,293,1,0,0,0,0
566,293,2,0,0,0,1
567,293,2,0,0,0,0
568,293,2,0,0,0,1
569,294,1,0,0,0,0
570,294,2,0,0,0,1
571,294,2,0,0,0,0
572,294,2,0,0,0,1
573,295,1,0,0,0,0
574,295,2,0,0,0,1
575,295,2,0,0,0,0
576,295,2,0,0,0,1
577,296,2,0,0,0,0
578,297,2,0,0,0,0
579,298,2,0,0,0,1
580,299,2,0,0,0,0
581,300,2,0,0,0,0
582,301,2,0,0,0,0
583,301,2,0,0,0,0
584,302,2,0,0,0,0
585,303,2,0,0,0,2
586,304,2,2,0,0,0
587,305,2,0,0,0,0
588,306,2,0,0,0,1
589,306,2,0,0,0,1
590,307,2,0,0,0,1
591,307,2,0,0,0,0
592,307,2,0,0,0,0
593,307,2,0,0,0,0
594,308,2,2,0,0,0
595,309,2,0,0,0,2
596,310,2,1,0,0,2
597,310,2,2,0,0,1
598,311,2,0,0,0,2
599,312,2,0,0,0,0
600,312,2,0,0,0,2
601,313,2,0,0,0,1
602,313,2,0,0,0,1
603,314,2,0,0,0,1
604,314,2,0,1,0,2
605,315,2,0,1,0,1
606,315,2,0,0,0,0
607,315,2,0,0,0,1
608,315,2,2,0,0,1
609,316,3,1,0,0,1
610,317,2,0,0,0,0
611,317,2,0,0,0,1
612,317,2,0,0,0,2
613,318,2,0,0,0,1
614,318,2,0,1,0,2
615,319,2,0,0,0,0
616,320,2,0,0,0,0
617,320,2,0,0,0,0
618,321,2,0,0,0,0
619,322,2,0,0,0,1
620,322,2,0,0,0,1
621,323,2,0,0,0,0
622,323,2,0,0,0,1
623,323,2,0,0,0,2
624,413,2,0,0,0,0
625,413,2,2,0,0,0
626,414,2,0,0,0,0
627,414,2,0,0,0,0
628,414,2,0,0,0,0
629,414,2,0,0,0,0
630,414,2,0,0,0,0
631,414,2,0,0,0,0
632,414,2,0,0,0,0
633,414,1,0,0,0,0
634,414,3,0,0,0,0
635,414,2,0,0,0,0
636,414,2,0,0,0,0
637,414,1,0,0,0,0
638,414,3,0,0,0,0
639,414,2,0,0,0,0
640,414,2,0,0,0,0
641,414,1,0,0,0,0
642,414,2,0,0,0,0
643,414,2,0,0,0,0
644,414,2,0,0,0,0
645,414,2,0,0,0,0
646,415,2,0,0,0,0
647,415,2,0,0,0,0
648,415,2,0,0,0,0
649,415,2,0,0,0,0
650,415,2,0,0,0,0
651,415,2,0,0,0,0
652,415,2,0,0,0,0
653,415,1,0,0,0,0
654,415,3,0,0,0,0
655,415,2,0,0,0,0
656,415,2,0,0,0,0
657,415,1,0,0,0,0
658,415,3,0,0,0,0
659,415,2,0,0,0,0
660,415,2,0,0,0,0
661,415,1,0,0,0,0
662,415,2,0,0,0,0
663,415,2,0,0,0,0
664,415,2,0,0,0,0
665,415,2,0,0,0,0
666,416,2,0,0,0,0
667,416,2,0,0,0,0
668,416,2,0,0,0,0
669,416,2,0,0,0,0
670,416,2,0,0,0,0
671,416,2,0,0,0,0
672,416,2,0,0,0,0
673,416,1,0,0,0,0
674,416,3,0,0,0,0
675,416,2,0,0,0,0
676,416,2,0,0,0,0
677,416,1,0,0,0,0
678,416,3,0,0,0,0
679,416,2,0,0,0,0
680,416,2,0,0,0,0
681,416,1,0,0,0,0
682,416,2,0,0,0,0
683,416,2,0,0,0,0
684,416,2,0,0,0,0
685,416,2,0,0,0,0
686,417,2,0,0,0,0
687,417,2,0,0,0,0
688,417,2,0,0,0,0
689,417,2,0,0,0,0
690,417,2,0,0,0,0
691,417,2,0,0,0,0
692,417,2,0,0,0,0
693,417,1,0,0,0,0
694,417,3,0,0,0,0
695,417,2,0,0,0,0
696,417,2,0,0,0,0
697,417,1,0,0,0,0
698,417,3,0,0,0,0
699,417,2,0,0,0,0
700,417,2,0,0,0,0
701,417,1,0,0,0,0
702,417,2,0,0,0,0
703,417,2,0,0,0,0
704,417,2,0,0,0,0
705,417,2,0,0,0,0
706,418,2,0,0,0,0
707,418,2,0,0,0,0
708,418,2,0,0,0,0
709,418,2,0,0,0,0
710,418,2,0,0,0,0
711,418,2,0,0,0,0
712,418,2,0,0,0,0
713,418,1,0,0,0,0
714,418,3,0,0,0,0
715,418,2,0,0,0,0
716,418,2,0,0,0,0
717,418,1,0,0,0,0
718,418,3,0,0,0,0
719,418,2,0,0,0,0
720,418,2,0,0,0,0
721,418,1,0,0,0,0
722,418,2,0,0,0,0
723,418,2,0,0,0,0
724,418,2,0,0,0,0
725,418,2,0,0,0,0
726,419,2,2,0,0,1
727,420,2,0,0,0,0
728,420,2,0,0,0,0
729,420,2,0,0,0,0
730,420,2,0,0,0,0
731,420,2,0,0,0,0
732,420,2,0,0,0,0
733,420,2,0,0,0,0
734,420,1,0,0,0,0
735,420,3,0,0,0,0
736,420,2,0,0,0,0
737,420,2,0,0,0,0
738,420,1,0,0,0,0
739,420,3,0,0,0,0
740,420,2,0,0,0,0
741,420,2,0,0,0,0
742,420,1,0,0,0,0
743,420,2,0,0,0,0
744,420,2,0,0,0,0
745,420,2,0,0,0,0
746,420,2,0,0,0,0
747,421,2,0,0,0,0
748,421,2,0,0,0,0
749,421,2,0,0,0,0
750,421,2,0,0,0,0
751,421,2,0,0,0,0
752,421,2,0,0,0,0
753,421,2,0,0,0,0
754,421,1,0,0,0,0
755,421,3,0,0,0,0
756,421,2,0,0,0,0
757,421,2,0,0,0,0
758,421,1,0,0,0,0
759,421,3,0,0,0,0
760,421,2,0,0,0,0
761,421,2,0,0,0,0
762,421,1,0,0,0,0
763,421,2,0,0,0,0
764,421,2,0,0,0,0
765,421,2,0,0,0,0
766,421,2,0,0,0,0
767,422,2,0,0,0,0
768,422,2,0,0,0,0
769,422,2,0,0,0,0
770,422,2,0,0,0,0
771,422,2,0,0,0,0
772,422,2,0,0,0,0
773,422,2,0,0,0,0
774,422,1,0,0,0,0
775,422,3,0,0,0,0
776,422,2,0,0,0,0
777,422,2,0,0,0,0
778,422,1,0,0,0,0
779,422,3,0,0,0,0
780,422,2,0,0,0,0
781,422,2,0,0,0,0
782,422,1,0,0,0,0
783,422,2,0,0,0,0
784,422,2,0,0,0,0
785,422,2,0,0,0,0
786,422,2,0,0,0,0
787,423,2,0,0,0,0
788,423,2,0,0,0,0
789,423,2,0,0,0,0
790,423,2,0,0,0,0
791,423,2,0,0,0,0
792,423,2,0,0,0,0
793,423,2,0,0,0,0
794,423,1,0,0,0,0
795,423,3,0,0,0,0
796,423,2,0,0,0,0
797,423,2,0,0,0,0
798,423,1,0,0,0,0
799,423,3,0,0,0,0
800,423,2,0,0,0,0
801,423,2,0,0,0,0
802,423,1,0,0,0,0
803,423,2,0,0,0,0
804,423,2,0,0,0,0
805,423,2,0,0,0,0
806,423,2,0,0,0,0
807,424,2,0,0,0,0
808,424,2,0,0,0,0
809,424,2,0,0,0,0
810,424,2,0,0,0,0
811,424,2,0,0,0,0
812,424,2,0,0,0,0
813,424,2,0,0,0,0
814,424,1,0,0,0,0
815,424,3,0,0,0,0
816,424,2,0,0,0,0
817,424,2,0,0,0,0
818,424,1,0,0,0,0
819,424,3,0,0,0,0
820,424,2,0,0,0,0
821,424,2,0,0,0,0
822,424,1,0,0,0,0
823,424,2,0,0,0,0
824,424,2,0,0,0,0
825,424,2,0,0,0,0
826,424,2,0,0,0,0
827,425,2,0,0,0,0
828,425,2,0,0,0,0
829,425,2,0,0,0,0
830,425,2,0,0,0,0
831,425,2,0,0,0,0
832,425,2,0,0,0,0
833,425,2,0,0,0,0
834,425,1,0,0,0,0
835,425,3,0,0,0,0
836,425,2,0,0,0,0
837,425,2,0,0,0,0
838,425,1,0,0,0,0
839,425,3,0,0,0,0
840,425,2,0,0,0,0
841,425,2,0,0,0,0
842,425,1,0,0,0,0
843,425,2,0,0,0,0
844,425,2,0,0,0,0
845,425,2,0,0,0,0
846,425,2,0,0,0,0
847,426,2,0,0,0,0
848,426,2,0,0,0,0
849,426,2,0,0,0,0
850,426,2,0,0,0,0
851,426,2,0,0,0,0
852,426,2,0,0,0,0
853,426,2,0,0,0,0
854,426,1,0,0,0,0
855,426,3,0,0,0,0
856,426,2,0,0,0,0
857,426,2,0,0,0,0
858,426,1,0,0,0,0
859,426,3,0,0,0,0
860,426,2,0,0,0,0
861,426,2,0,0,0,0
862,426,1,0,0,0,0
863,426,2,0,0,0,0
864,426,2,0,0,0,0
865,426,2,0,0,0,0
866,426,2,0,0,0,0
867,427,2,0,0,0,0
868,427,2,0,0,0,0
869,427,2,0,0,0,0
870,427,2,0,0,0,0
871,427,2,0,0,0,0
872,427,2,0,0,0,0
873,427,2,0,0,0,0
874,427,1,0,0,0,0
875,427,3,0,0,0,0
876,427,2,0,0,0,0
877,427,2,0,0,0,0
878,427,1,0,0,0,0
879,427,3,0,0,0,0
880,427,2,0,0,0,0
881,427,2,0,0,0,0
882,427,1,0,0,0,0
883,427,2,0,0,0,0
884,427,2,0,0,0,0
885,427,2,0,0,0,0
886,427,2,0,0,0,0
887,428,2,0,0,0,0
888,428,2,0,0,0,0
889,428,2,0,0,0,0
890,428,2,0,0,0,0
891,428,2,0,0,0,0
892,428,2,0,0,0,0
893,428,2,0,0,0,0
894,428,1,0,0,0,0
895,428,3,0,0,0,0
896,428,2,0,0,0,0
897,428,2,0,0,0,0
898,428,1,0,0,0,0
899,428,3,0,0,0,0
900,428,2,0,0,0,0
901,428,2,0,0,0,0
902,428,1,0,0,0,0
903,428,2,0,0,0,0
904,428,2,0,0,0,0
905,428,2,0,0,0,0
906,428,2,0,0,0,0
907,429,2,0,0,0,0
908,429,2,0,0,0,0
909,429,2,0,0,0,0
910,429,2,0,0,0,0
911,429,2,0,0,0,0
912,429,2,0,0,0,0
913,429,2,0,0,0,0
914,429,1,0,0,0,0
915,429,3,0,0,0,0
916,429,2,0,0,0,0
917,429,2,0,0,0,0
918,429,1,0,0,0,0
919,429,3,0,0,0,0
920,429,2,0,0,0,0
921,429,2,0,0,0,0
922,429,1,0,0,0,0
923,429,2,0,0,0,0
924,429,2,0,0,0,0
925,429,2,0,0,0,0
926,429,2,0,0,0,0
927,430,2,0,0,0,0
928,430,2,0,0,0,0
929,430,2,0,0,0,0
930,430,2,0,0,0,0
931,430,2,0,0,0,0
932,430,2,0,0,0,0
933,430,2,0,0,0,0
934,430,1,0,0,0,0
935,430,3,0,0,0,0
936,430,2,0,0,0,0
937,430,2,0,0,0,0
938,430,1,0,0,0,0
939,430,3,0,0,0,0
940,430,2,0,0,0,0
941,430,2,0,0,0,0
942,430,1,0,0,0,0
943,430,2,0,0,0,0
944,430,2,0,0,0,0
945,430,2,0,0,0,0
946,430,2,0,0,0,0
947,431,2,0,0,0,0
948,431,2,0,0,0,0
949,431,2,0,0,0,0
950,431,2,0,0,0,0
951,431,2,0,0,0,0
952,431,2,0,0,0,0
953,431,2,0,0,0,0
954,431,1,0,0,0,0
955,431,3,0,0,0,0
956,431,2,0,0,0,0
957,431,2,0,0,0,0
958,431,1,0,0,0,0
959,431,3,0,0,0,0
960,431,2,0,0,0,0
961,431,2,0,0,0,0
962,431,1,0,0,0,0
963,431,2,0,0,0,0
964,431,2,0,0,0,0
965,431,2,0,0,0,0
966,431,2,0,0,0,0
967,432,2,0,0,0,0
968,432,2,0,0,0,0
969,432,2,0,0,0,0
970,432,2,0,0,0,0
971,432,2,0,0,0,0
972,432,2,0,0,0,0
973,432,2,0,0,0,0
974,432,1,0,0,0,0
975,432,3,0,0,0,0
976,432,2,0,0,0,0
977,432,2,0,0,0,0
978,432,1,0,0,0,0
979,432,3,0,0,0,0
980,432,2,0,0,0,0
981,432,2,0,0,0,0
982,432,1,0,0,0,0
983,432,2,0,0,0,0
984,432,2,0,0,0,0
985,432,2,0,0,0,0
986,432,2,0,0,0,0
987,433,2,0,0,0,0
988,433,2,0,0,0,0
